image: image_141.jpg, index: 141, steering: -1.0, throttle: 0.445098876953125
image: image_185.jpg, index: 185, steering: -0.058837890625, throttle: 0.42156982421875
image: image_186.jpg, index: 186, steering: -0.04315185546875, throttle: 0.4058837890625
image: image_187.jpg, index: 187, steering: -0.04315185546875, throttle: 0.3941192626953125
image: image_188.jpg, index: 188, steering: -0.04315185546875, throttle: 0.3941192626953125
image: image_189.jpg, index: 189, steering: -0.04315185546875, throttle: 0.3941192626953125
image: image_190.jpg, index: 190, steering: -0.098052978515625, throttle: 0.3941192626953125
image: image_191.jpg, index: 191, steering: -0.13726806640625, throttle: 0.3941192626953125
image: image_192.jpg, index: 192, steering: -0.207855224609375, throttle: 0.3941192626953125
image: image_193.jpg, index: 193, steering: -0.32550048828125, throttle: 0.3941192626953125
image: image_194.jpg, index: 194, steering: -0.427459716796875, throttle: 0.3941192626953125
image: image_195.jpg, index: 195, steering: -0.48236083984375, throttle: 0.3941192626953125
image: image_196.jpg, index: 196, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_197.jpg, index: 197, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_198.jpg, index: 198, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_199.jpg, index: 199, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_200.jpg, index: 200, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_201.jpg, index: 201, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_202.jpg, index: 202, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_203.jpg, index: 203, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_204.jpg, index: 204, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_205.jpg, index: 205, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_206.jpg, index: 206, steering: -0.443145751953125, throttle: 0.4098052978515625
image: image_207.jpg, index: 207, steering: -0.38824462890625, throttle: 0.4098052978515625
image: image_208.jpg, index: 208, steering: -0.32550048828125, throttle: 0.4098052978515625
image: image_209.jpg, index: 209, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_210.jpg, index: 210, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_211.jpg, index: 211, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_212.jpg, index: 212, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_213.jpg, index: 213, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_214.jpg, index: 214, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_215.jpg, index: 215, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_216.jpg, index: 216, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_217.jpg, index: 217, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_218.jpg, index: 218, steering: -0.37255859375, throttle: 0.4098052978515625
image: image_219.jpg, index: 219, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_220.jpg, index: 220, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_221.jpg, index: 221, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_222.jpg, index: 222, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_223.jpg, index: 223, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_224.jpg, index: 224, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_225.jpg, index: 225, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_226.jpg, index: 226, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_227.jpg, index: 227, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_228.jpg, index: 228, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_229.jpg, index: 229, steering: -0.521575927734375, throttle: 0.4098052978515625
image: image_230.jpg, index: 230, steering: -0.490203857421875, throttle: 0.4098052978515625
image: image_231.jpg, index: 231, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_232.jpg, index: 232, steering: -0.48236083984375, throttle: 0.4098052978515625
image: image_233.jpg, index: 233, steering: -0.4666748046875, throttle: 0.4098052978515625
image: image_234.jpg, index: 234, steering: -0.427459716796875, throttle: 0.4098052978515625
image: image_235.jpg, index: 235, steering: -0.38824462890625, throttle: 0.4098052978515625
image: image_236.jpg, index: 236, steering: -0.37255859375, throttle: 0.4098052978515625
image: image_237.jpg, index: 237, steering: -0.349029541015625, throttle: 0.4098052978515625
image: image_238.jpg, index: 238, steering: -0.309814453125, throttle: 0.4098052978515625
image: image_239.jpg, index: 239, steering: -0.29412841796875, throttle: 0.4098052978515625
image: image_240.jpg, index: 240, steering: -0.29412841796875, throttle: 0.4098052978515625
image: image_241.jpg, index: 241, steering: -0.29412841796875, throttle: 0.3941192626953125
image: image_242.jpg, index: 242, steering: -0.29412841796875, throttle: 0.3941192626953125
image: image_243.jpg, index: 243, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_244.jpg, index: 244, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_245.jpg, index: 245, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_246.jpg, index: 246, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_247.jpg, index: 247, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_248.jpg, index: 248, steering: -0.286285400390625, throttle: 0.3941192626953125
image: image_249.jpg, index: 249, steering: -0.1529541015625, throttle: 0.4098052978515625
image: image_250.jpg, index: 250, steering: -0.058837890625, throttle: 0.4254913330078125
image: image_251.jpg, index: 251, steering: 0.00390625, throttle: 0.4490203857421875
image: image_252.jpg, index: 252, steering: 0.00390625, throttle: 0.5
image: image_253.jpg, index: 253, steering: 0.00390625, throttle: 0.5
image: image_254.jpg, index: 254, steering: 0.00390625, throttle: 0.5
image: image_255.jpg, index: 255, steering: 0.00390625, throttle: 0.5
image: image_256.jpg, index: 256, steering: 0.00390625, throttle: 0.5
image: image_257.jpg, index: 257, steering: 0.00390625, throttle: 0.5
image: image_258.jpg, index: 258, steering: 0.00390625, throttle: 0.5
image: image_259.jpg, index: 259, steering: 0.00390625, throttle: 0.5
image: image_260.jpg, index: 260, steering: 0.00390625, throttle: 0.5
image: image_261.jpg, index: 261, steering: 0.00390625, throttle: 0.5
image: image_262.jpg, index: 262, steering: 0.00390625, throttle: 0.5
image: image_263.jpg, index: 263, steering: 0.00390625, throttle: 0.5
image: image_264.jpg, index: 264, steering: -0.12158203125, throttle: 0.5
image: image_265.jpg, index: 265, steering: -0.1529541015625, throttle: 0.5
image: image_266.jpg, index: 266, steering: -0.1529541015625, throttle: 0.5
image: image_267.jpg, index: 267, steering: -0.1529541015625, throttle: 0.5
image: image_268.jpg, index: 268, steering: -0.019622802734375, throttle: 0.5
image: image_269.jpg, index: 269, steering: 0.00390625, throttle: 0.5
image: image_270.jpg, index: 270, steering: 0.00390625, throttle: 0.5
image: image_271.jpg, index: 271, steering: 0.00390625, throttle: 0.5
image: image_272.jpg, index: 272, steering: 0.00390625, throttle: 0.5
image: image_273.jpg, index: 273, steering: -0.04315185546875, throttle: 0.5
image: image_274.jpg, index: 274, steering: -0.13726806640625, throttle: 0.5
image: image_275.jpg, index: 275, steering: -0.2470703125, throttle: 0.5
image: image_276.jpg, index: 276, steering: -0.286285400390625, throttle: 0.5
image: image_277.jpg, index: 277, steering: -0.309814453125, throttle: 0.5
image: image_278.jpg, index: 278, steering: -0.309814453125, throttle: 0.5
image: image_279.jpg, index: 279, steering: -0.309814453125, throttle: 0.5
image: image_280.jpg, index: 280, steering: -0.309814453125, throttle: 0.5
image: image_281.jpg, index: 281, steering: -0.309814453125, throttle: 0.5
image: image_282.jpg, index: 282, steering: 0.00390625, throttle: 0.5
image: image_283.jpg, index: 283, steering: 0.00390625, throttle: 0.5
image: image_284.jpg, index: 284, steering: 0.00390625, throttle: 0.5
image: image_285.jpg, index: 285, steering: 0.00390625, throttle: 0.5
image: image_286.jpg, index: 286, steering: 0.00390625, throttle: 0.5
image: image_287.jpg, index: 287, steering: 0.00390625, throttle: 0.5
image: image_288.jpg, index: 288, steering: 0.00390625, throttle: 0.5
image: image_289.jpg, index: 289, steering: 0.00390625, throttle: 0.5
image: image_290.jpg, index: 290, steering: 0.00390625, throttle: 0.5
image: image_291.jpg, index: 291, steering: 0.00390625, throttle: 0.5
image: image_292.jpg, index: 292, steering: 0.00390625, throttle: 0.5
image: image_293.jpg, index: 293, steering: 0.00390625, throttle: 0.5
image: image_294.jpg, index: 294, steering: 0.00390625, throttle: 0.4490203857421875
image: image_295.jpg, index: 295, steering: 0.00390625, throttle: 0.4058837890625
image: image_296.jpg, index: 296, steering: 0.00390625, throttle: 0.3941192626953125
image: image_297.jpg, index: 297, steering: 0.00390625, throttle: 0.3941192626953125
image: image_298.jpg, index: 298, steering: 0.00390625, throttle: 0.3941192626953125
image: image_299.jpg, index: 299, steering: 0.00390625, throttle: 0.3941192626953125
image: image_300.jpg, index: 300, steering: 0.00390625, throttle: 0.3941192626953125
image: image_301.jpg, index: 301, steering: 0.00390625, throttle: 0.3941192626953125
image: image_302.jpg, index: 302, steering: 0.00390625, throttle: 0.3941192626953125
image: image_303.jpg, index: 303, steering: 0.00390625, throttle: 0.3941192626953125
image: image_304.jpg, index: 304, steering: 0.00390625, throttle: 0.3941192626953125
image: image_305.jpg, index: 305, steering: 0.00390625, throttle: 0.3941192626953125
image: image_306.jpg, index: 306, steering: 0.00390625, throttle: 0.3941192626953125
image: image_307.jpg, index: 307, steering: 0.00390625, throttle: 0.3941192626953125
image: image_308.jpg, index: 308, steering: 0.00390625, throttle: 0.3941192626953125
image: image_309.jpg, index: 309, steering: 0.00390625, throttle: 0.3941192626953125
image: image_310.jpg, index: 310, steering: 0.00390625, throttle: 0.3941192626953125
image: image_311.jpg, index: 311, steering: 0.00390625, throttle: 0.4098052978515625
image: image_312.jpg, index: 312, steering: 0.00390625, throttle: 0.4176483154296875
image: image_313.jpg, index: 313, steering: 0.00390625, throttle: 0.42156982421875
image: image_314.jpg, index: 314, steering: 0.00390625, throttle: 0.42156982421875
image: image_315.jpg, index: 315, steering: 0.00390625, throttle: 0.42156982421875
image: image_316.jpg, index: 316, steering: 0.00390625, throttle: 0.42156982421875
image: image_317.jpg, index: 317, steering: -0.286285400390625, throttle: 0.42156982421875
image: image_318.jpg, index: 318, steering: -0.333343505859375, throttle: 0.42156982421875
image: image_319.jpg, index: 319, steering: -0.333343505859375, throttle: 0.42156982421875
image: image_320.jpg, index: 320, steering: -0.333343505859375, throttle: 0.42156982421875
image: image_321.jpg, index: 321, steering: -0.333343505859375, throttle: 0.42156982421875
image: image_322.jpg, index: 322, steering: -0.333343505859375, throttle: 0.42156982421875
image: image_323.jpg, index: 323, steering: -0.29412841796875, throttle: 0.42156982421875
image: image_324.jpg, index: 324, steering: -0.13726806640625, throttle: 0.42156982421875
image: image_325.jpg, index: 325, steering: -0.019622802734375, throttle: 0.42156982421875
image: image_326.jpg, index: 326, steering: 0.00390625, throttle: 0.42156982421875
image: image_327.jpg, index: 327, steering: 0.00390625, throttle: 0.42156982421875
image: image_328.jpg, index: 328, steering: 0.00390625, throttle: 0.42156982421875
image: image_329.jpg, index: 329, steering: 0.00390625, throttle: 0.42156982421875
image: image_330.jpg, index: 330, steering: 0.00390625, throttle: 0.42156982421875
image: image_331.jpg, index: 331, steering: 0.00390625, throttle: 0.42156982421875
image: image_332.jpg, index: 332, steering: -0.192169189453125, throttle: 0.42156982421875
image: image_333.jpg, index: 333, steering: -0.521575927734375, throttle: 0.42156982421875
image: image_334.jpg, index: 334, steering: -0.568634033203125, throttle: 0.42156982421875
image: image_335.jpg, index: 335, steering: -0.568634033203125, throttle: 0.42156982421875
image: image_336.jpg, index: 336, steering: -0.490203857421875, throttle: 0.42156982421875
image: image_337.jpg, index: 337, steering: -0.427459716796875, throttle: 0.42156982421875
image: image_338.jpg, index: 338, steering: -0.4039306640625, throttle: 0.42156982421875
image: image_339.jpg, index: 339, steering: -0.38824462890625, throttle: 0.42156982421875
image: image_340.jpg, index: 340, steering: -0.364715576171875, throttle: 0.42156982421875
image: image_341.jpg, index: 341, steering: -0.364715576171875, throttle: 0.42156982421875
image: image_342.jpg, index: 342, steering: -0.349029541015625, throttle: 0.42156982421875
image: image_343.jpg, index: 343, steering: -0.349029541015625, throttle: 0.42156982421875
image: image_344.jpg, index: 344, steering: -0.349029541015625, throttle: 0.42156982421875
image: image_345.jpg, index: 345, steering: -0.349029541015625, throttle: 0.42156982421875
image: image_346.jpg, index: 346, steering: -0.349029541015625, throttle: 0.42156982421875
image: image_347.jpg, index: 347, steering: -0.427459716796875, throttle: 0.42156982421875
image: image_348.jpg, index: 348, steering: -0.48236083984375, throttle: 0.42156982421875
image: image_349.jpg, index: 349, steering: -0.48236083984375, throttle: 0.42156982421875
image: image_350.jpg, index: 350, steering: -0.48236083984375, throttle: 0.42156982421875
image: image_351.jpg, index: 351, steering: -0.48236083984375, throttle: 0.42156982421875
image: image_352.jpg, index: 352, steering: -0.48236083984375, throttle: 0.42156982421875
image: image_353.jpg, index: 353, steering: -0.505889892578125, throttle: 0.42156982421875
image: image_354.jpg, index: 354, steering: -0.54510498046875, throttle: 0.42156982421875
image: image_355.jpg, index: 355, steering: -0.60784912109375, throttle: 0.42156982421875
image: image_356.jpg, index: 356, steering: -0.647064208984375, throttle: 0.42156982421875
image: image_357.jpg, index: 357, steering: -0.678436279296875, throttle: 0.42156982421875
image: image_358.jpg, index: 358, steering: -0.678436279296875, throttle: 0.42156982421875
image: image_359.jpg, index: 359, steering: -0.7803955078125, throttle: 0.42156982421875
image: image_360.jpg, index: 360, steering: -0.882354736328125, throttle: 0.42156982421875
image: image_361.jpg, index: 361, steering: -0.882354736328125, throttle: 0.4254913330078125
image: image_362.jpg, index: 362, steering: -0.8431396484375, throttle: 0.4254913330078125
image: image_363.jpg, index: 363, steering: -0.803924560546875, throttle: 0.4254913330078125
image: image_364.jpg, index: 364, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_365.jpg, index: 365, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_366.jpg, index: 366, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_367.jpg, index: 367, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_368.jpg, index: 368, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_369.jpg, index: 369, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_370.jpg, index: 370, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_371.jpg, index: 371, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_372.jpg, index: 372, steering: -0.7803955078125, throttle: 0.4333343505859375
image: image_373.jpg, index: 373, steering: -0.7803955078125, throttle: 0.437255859375
image: image_374.jpg, index: 374, steering: -0.7803955078125, throttle: 0.445098876953125
image: image_375.jpg, index: 375, steering: -0.7803955078125, throttle: 0.445098876953125
image: image_376.jpg, index: 376, steering: -0.7803955078125, throttle: 0.4490203857421875
image: image_377.jpg, index: 377, steering: -0.7803955078125, throttle: 0.4490203857421875
image: image_378.jpg, index: 378, steering: -0.741180419921875, throttle: 0.4490203857421875
image: image_379.jpg, index: 379, steering: -0.725494384765625, throttle: 0.4490203857421875
image: image_380.jpg, index: 380, steering: -0.7176513671875, throttle: 0.4490203857421875
image: image_381.jpg, index: 381, steering: -0.7176513671875, throttle: 0.4490203857421875
image: image_382.jpg, index: 382, steering: -0.7176513671875, throttle: 0.4490203857421875
image: image_383.jpg, index: 383, steering: -0.7176513671875, throttle: 0.4490203857421875
image: image_384.jpg, index: 384, steering: -0.7176513671875, throttle: 0.4490203857421875
image: image_385.jpg, index: 385, steering: -0.7176513671875, throttle: 0.4568634033203125
image: image_386.jpg, index: 386, steering: -0.7176513671875, throttle: 0.5
image: image_387.jpg, index: 387, steering: -0.7176513671875, throttle: 0.5
image: image_388.jpg, index: 388, steering: -0.7176513671875, throttle: 0.5
image: image_389.jpg, index: 389, steering: -0.678436279296875, throttle: 0.5
image: image_390.jpg, index: 390, steering: -0.678436279296875, throttle: 0.5
image: image_391.jpg, index: 391, steering: -0.678436279296875, throttle: 0.460784912109375
image: image_392.jpg, index: 392, steering: -0.678436279296875, throttle: 0.460784912109375
image: image_393.jpg, index: 393, steering: -0.678436279296875, throttle: 0.460784912109375
image: image_394.jpg, index: 394, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_395.jpg, index: 395, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_396.jpg, index: 396, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_397.jpg, index: 397, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_398.jpg, index: 398, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_399.jpg, index: 399, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_400.jpg, index: 400, steering: -0.662750244140625, throttle: 0.460784912109375
image: image_401.jpg, index: 401, steering: -0.60784912109375, throttle: 0.4803924560546875
image: image_402.jpg, index: 402, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_403.jpg, index: 403, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_404.jpg, index: 404, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_405.jpg, index: 405, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_406.jpg, index: 406, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_407.jpg, index: 407, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_408.jpg, index: 408, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_409.jpg, index: 409, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_410.jpg, index: 410, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_411.jpg, index: 411, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_412.jpg, index: 412, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_413.jpg, index: 413, steering: -0.600006103515625, throttle: 0.4803924560546875
image: image_414.jpg, index: 414, steering: -0.54510498046875, throttle: 0.4803924560546875
image: image_415.jpg, index: 415, steering: -0.176483154296875, throttle: 0.4568634033203125
image: image_416.jpg, index: 416, steering: 0.00390625, throttle: 0.4490203857421875
image: image_417.jpg, index: 417, steering: 0.00390625, throttle: 0.4490203857421875
image: image_418.jpg, index: 418, steering: 0.00390625, throttle: 0.4725494384765625
image: image_419.jpg, index: 419, steering: 0.00390625, throttle: 0.4725494384765625
image: image_420.jpg, index: 420, steering: 0.00390625, throttle: 0.4725494384765625
image: image_421.jpg, index: 421, steering: 0.00390625, throttle: 0.4725494384765625
image: image_422.jpg, index: 422, steering: 0.00390625, throttle: 0.4725494384765625
image: image_423.jpg, index: 423, steering: 0.00390625, throttle: 0.4725494384765625
image: image_424.jpg, index: 424, steering: -0.254913330078125, throttle: 0.4725494384765625
image: image_425.jpg, index: 425, steering: -0.600006103515625, throttle: 0.4725494384765625
image: image_426.jpg, index: 426, steering: -0.662750244140625, throttle: 0.4725494384765625
image: image_427.jpg, index: 427, steering: -0.560791015625, throttle: 0.4568634033203125
image: image_428.jpg, index: 428, steering: -0.035308837890625, throttle: 0.445098876953125
image: image_429.jpg, index: 429, steering: 0.00390625, throttle: 0.445098876953125
image: image_430.jpg, index: 430, steering: 0.00390625, throttle: 0.445098876953125
image: image_431.jpg, index: 431, steering: 0.00390625, throttle: 0.445098876953125
image: image_432.jpg, index: 432, steering: 0.00390625, throttle: 0.445098876953125
image: image_433.jpg, index: 433, steering: 0.00390625, throttle: 0.445098876953125
image: image_434.jpg, index: 434, steering: 0.00390625, throttle: 0.445098876953125
image: image_435.jpg, index: 435, steering: 0.00390625, throttle: 0.460784912109375
image: image_436.jpg, index: 436, steering: 0.00390625, throttle: 0.460784912109375
image: image_437.jpg, index: 437, steering: 0.00390625, throttle: 0.460784912109375
image: image_438.jpg, index: 438, steering: 0.00390625, throttle: 0.4803924560546875
image: image_439.jpg, index: 439, steering: 0.00390625, throttle: 0.4960784912109375
image: image_440.jpg, index: 440, steering: 0.00390625, throttle: 0.4686279296875
image: image_441.jpg, index: 441, steering: 0.00390625, throttle: 0.445098876953125
image: image_442.jpg, index: 442, steering: 0.00390625, throttle: 0.445098876953125
image: image_443.jpg, index: 443, steering: 0.00390625, throttle: 0.445098876953125
image: image_444.jpg, index: 444, steering: -0.13726806640625, throttle: 0.445098876953125
image: image_445.jpg, index: 445, steering: -0.254913330078125, throttle: 0.445098876953125
image: image_446.jpg, index: 446, steering: -0.309814453125, throttle: 0.445098876953125
image: image_447.jpg, index: 447, steering: -0.309814453125, throttle: 0.445098876953125
image: image_448.jpg, index: 448, steering: -0.333343505859375, throttle: 0.445098876953125
image: image_449.jpg, index: 449, steering: -0.45098876953125, throttle: 0.445098876953125
image: image_450.jpg, index: 450, steering: -0.521575927734375, throttle: 0.445098876953125
image: image_451.jpg, index: 451, steering: -0.54510498046875, throttle: 0.445098876953125
image: image_452.jpg, index: 452, steering: -0.192169189453125, throttle: 0.460784912109375
image: image_453.jpg, index: 453, steering: 0.00390625, throttle: 0.460784912109375
image: image_454.jpg, index: 454, steering: 0.00390625, throttle: 0.460784912109375
image: image_455.jpg, index: 455, steering: 0.00390625, throttle: 0.460784912109375
image: image_456.jpg, index: 456, steering: 0.00390625, throttle: 0.460784912109375
image: image_457.jpg, index: 457, steering: 0.00390625, throttle: 0.460784912109375
image: image_458.jpg, index: 458, steering: 0.00390625, throttle: 0.460784912109375
image: image_459.jpg, index: 459, steering: 0.00390625, throttle: 0.460784912109375
image: image_460.jpg, index: 460, steering: 0.00390625, throttle: 0.460784912109375
image: image_461.jpg, index: 461, steering: 0.00390625, throttle: 0.460784912109375
image: image_462.jpg, index: 462, steering: 0.00390625, throttle: 0.460784912109375
image: image_463.jpg, index: 463, steering: 0.00390625, throttle: 0.460784912109375
image: image_464.jpg, index: 464, steering: 0.00390625, throttle: 0.460784912109375
image: image_465.jpg, index: 465, steering: -0.12158203125, throttle: 0.4686279296875
image: image_466.jpg, index: 466, steering: -0.23138427734375, throttle: 0.4686279296875
image: image_467.jpg, index: 467, steering: -0.254913330078125, throttle: 0.4686279296875
image: image_468.jpg, index: 468, steering: -0.254913330078125, throttle: 0.4686279296875
image: image_469.jpg, index: 469, steering: -0.254913330078125, throttle: 0.4686279296875
image: image_470.jpg, index: 470, steering: -0.254913330078125, throttle: 0.4686279296875
image: image_471.jpg, index: 471, steering: -0.286285400390625, throttle: 0.4686279296875
image: image_472.jpg, index: 472, steering: -0.349029541015625, throttle: 0.4686279296875
image: image_473.jpg, index: 473, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_474.jpg, index: 474, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_475.jpg, index: 475, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_476.jpg, index: 476, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_477.jpg, index: 477, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_478.jpg, index: 478, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_479.jpg, index: 479, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_480.jpg, index: 480, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_481.jpg, index: 481, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_482.jpg, index: 482, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_483.jpg, index: 483, steering: -0.427459716796875, throttle: 0.4686279296875
image: image_484.jpg, index: 484, steering: -0.309814453125, throttle: 0.4686279296875
image: image_485.jpg, index: 485, steering: -0.207855224609375, throttle: 0.4686279296875
image: image_486.jpg, index: 486, steering: -0.160797119140625, throttle: 0.4686279296875
image: image_487.jpg, index: 487, steering: -0.13726806640625, throttle: 0.4686279296875
image: image_488.jpg, index: 488, steering: -0.13726806640625, throttle: 0.4686279296875
image: image_489.jpg, index: 489, steering: -0.12158203125, throttle: 0.4686279296875
image: image_490.jpg, index: 490, steering: -0.082366943359375, throttle: 0.4686279296875
image: image_491.jpg, index: 491, steering: -0.035308837890625, throttle: 0.4686279296875
image: image_492.jpg, index: 492, steering: -0.035308837890625, throttle: 0.4686279296875
image: image_493.jpg, index: 493, steering: -0.019622802734375, throttle: 0.4686279296875
image: image_494.jpg, index: 494, steering: -0.019622802734375, throttle: 0.4686279296875
image: image_495.jpg, index: 495, steering: -0.019622802734375, throttle: 0.4686279296875
image: image_496.jpg, index: 496, steering: -0.019622802734375, throttle: 0.4686279296875
image: image_497.jpg, index: 497, steering: -0.019622802734375, throttle: 0.4686279296875
image: image_498.jpg, index: 498, steering: -0.019622802734375, throttle: 0.4686279296875
